PERMCO,GVKEY,companyid
21032,6334,13822
10421,19428,13825
16608,121659,13840
14946,61679,13841
29529,25537,13843
15480,63318,13845
2001,5330,13857
30446,30463,13863
43615,112007,13868
45433,160206,13870
12807,29645,13876
45559,125580,13881
27374,5338,13891
2012,5340,13903
1383,20134,13904
20981,5987,13915
32111,65718,13933
12378,28785,13976
29530,25807,14042
11120,24491,14049
13662,31703,14063
31710,63447,14079
15423,64568,14104
12053,28018,14142
55407,5395,14144
20864,14716,14149
13849,61019,14167
2075,24021,14181
12569,29609,14195
20868,5439,14212
10299,27932,14213
20869,5442,14219
10954,24232,14261
7999,16456,14280
41159,31368,14285
7902,24316,14301
12759,29550,14315
13743,18654,14325
2183,5475,14333
20881,12389,14337
8212,16955,14338
8544,16956,14339
13739,31843,14343
26032,20423,14349
5860,139201,14353
20883,5492,14355
17478,127179,14359
20884,5496,14365
31386,61739,14372
41060,141469,14381
16034,5513,14390
20887,5518,14399
16155,111532,14405
13504,31748,14416
2089,5523,14427
20890,5526,14433
34745,66050,14439
2238,5530,14441
33932,61576,14477
20891,13125,14483
13425,30971,14490
15322,64360,14491
10828,12338,14494
10972,29710,14496
6616,5539,14509
17517,127439,14516
8596,12589,14523
37161,133766,14525
17365,2589,14527
15676,61441,14534
8702,12840,14538
44055,61693,14539
20897,5560,14555
10704,22913,14561
2116,5572,14588
2119,5578,14599
20902,5581,14617
14093,62525,14632
20904,5589,14681
34846,109599,14689
15918,66285,14690
45560,31242,14691
2209,5594,14698
34979,117260,14713
20906,5597,14714
13093,30232,14716
15560,65011,14719
2130,5608,14728
15037,63763,14739
2141,5619,14740
27566,6995,14746
20912,14721,14766
30427,30298,14793
9338,14466,14799
20913,5639,14805
12866,29741,14836
30356,29934,14843
11645,25623,14871
15684,61976,14954
20922,5667,14955
12277,28600,14959
12567,29165,14960
10504,20904,14967
15260,64231,14980
5085,5680,14982
46003,162457,14984
30450,30539,14994
16701,122674,15018
22168,1300,15029
43253,122211,15043
15956,106853,15050
29347,24678,15053
9389,18533,15055
8472,16885,15058
30860,31614,15060
16036,109043,15062
20932,5709,15070
30932,61188,15086
21157,7063,15093
14966,63621,15098
31737,63607,15123
20942,5750,15128
20894,13579,15148
14427,62378,15171
20945,5764,15173
16646,122015,15180
13407,30899,15184
2231,5417,15185
53222,62766,15186
2232,5774,15192
12630,29312,15203
20950,27914,15207
13449,31095,15212
