CUSIP,CRSP_PERMCO,TICKER,Compustat_GVKEY,BoardEx_boardID,RP_entityID
00635110,59,ADAR,001121,751,
92337U20,56713,VERB,021984,3018528,
83336J20,58959,LITM,038526,3477510,
42087L10,56793,HYAC,312066,3042040,
43506310,57239,HOL,039136,3244511,
78518H20,29462,BRW,025034,2566538,
90347A10,53901,UBNT,187462,1729162,
62007610,21230,MOT,007585,21174,
27888N40,58690,ROI,027086,3432297,
87261Y10,57081,TMC,039624,3191987,
03635R20,56996,ANPC,035831,3154954,
85205U10,58685,SWSS,038337,3441163,
55293910,21143,MGI,014733,20500,
20415710,15152,GLTB,062646,7507,
15116C30,55612,APOP,351038,2292336,
83006G10,59612,SXTP,042890,3663811,
09180C10,15025,BJRI,063739,6633,
15671L10,55454,CERC,026149,2350881,
93403J10,58703,WRBY,039502,3412301,
34962V10,57062,FVAC,037407,3190980,
03798830,57225,AUVI,036759,3258555,
L7579L10,59021,PRM,040108,3130827,
16530310,892,CHPK,002986,6612,
30262E10,8360,FRPP,012926,23923,
47925410,9576,JWAIA,013906,17483,
78473E10,21548,SPXC,005087,28937,
31946M10,8674,FCNCA,004690,59,
45579J10,56007,INDU,032098,2686250,
03209T30,53770,AMPE,184465,1702677,
G8893511,58898,USCT,039862,3468611,
05350V10,55034,AVNS,021352,2163304,
60784B10,58768,MDV,039663,3507628,
23833710,55082,PLAY,060923,2155262,
91353810,4684,UNFD,011012,27609,
76039310,13695,RESI,031752,6339,
69207P30,53335,OXBT,027939,1650203,
23335Q10,8185,DLHC,012304,30095,
25401N40,58285,DBGI,035152,3393243,
51680620,53941,VTLE,187961,1742907,
54319510,57079,LGVW,038079,3195448,
G9460G10,58272,VAL,002270,3389806,
39607Y10,45559,GVBK,125580,13881,
G1745A10,58837,CCTS,039852,3470155,
30034T10,47428,EVRI,163678,828012,
84841L40,54947,ANY,016972,1985834,
92552410,21866,VIA,013714,32587,
05374310,26169,AVMRF,013400,1190873,
96822320,4922,WILLA,011499,33491,
98566K10,57473,YSAC,037066,3286824,
05875B10,56665,BALY,027240,9556,
30259V10,57303,FGNA,039306,3274942,
43300010,56818,HIMS,037851,3059049,
64044220,56236,NMRD,022114,2767088,
69764K10,58673,PALT,028551,3431865,
09229E30,58925,BLBX,026630,3473963,
08948210,56152,BRPA,038874,2731932,
47100L20,59605,JNVR,041687,3667305,
04648410,14258,SPAB,061766,28723,
34956C10,11003,FORT,024225,7996,
92538T10,57365,VSPR,038768,3275063,
89157D10,58310,TRML,038738,3391256,
62926210,3213,NMSI,007662,2514597,
35459610,29506,FNQ,025331,12450,
58938110,58580,SEPA,038519,3428400,
23329610,45863,DRJ,106112,666627,
02369M10,58077,AMAO,038014,3368739,
68069010,21329,OLM,008123,23061,
67098H10,22462,OI,008215,23508,
74637510,5130,PURO,008832,577415,
88355W10,29710,TFT,025922,17640,
G1272911,59602,BOWN,043116,3662993,
07745410,29956,BDC,028940,5455,
44919P50,11901,IACI,036691,3230062,
56564V10,58299,MAQC,038620,3390729,
29717810,30421,ESS,030293,11060,
44351020,20945,HUB,005764,15173,
65488A10,58259,NKGN,038649,3395452,
53960E20,57900,LOCL,037856,3384599,
38021H10,57968,PUCK,037859,3346166,
04208V10,58639,AACI,039408,3436105,
04410386,44265,AHT,155754,550882,
02959510,7119,AMSH,001559,1927,
09175M10,15236,NILE,064163,9261,
G8253W10,58444,DNAC,034263,3415681,
92243A20,3133,VXRT,033114,21450,
68572M10,57242,OBIO,036776,3243866,
G7207P10,59190,PWUP,040511,3510059,
52886N40,57757,LEXX,175505,1213596,
55749710,2847,MDSN,006932,468832,
39540E30,57236,GP,022703,1908490,
30329Y10,54828,FGF,019528,2058282,
49177J10,59559,KVUE,041897,3640549,
09257W10,20378,BXMT,020791,5749,
22002T10,11276,COPT,024825,7936,
57135420,58868,MRAI,039598,3468068,
11271J10,32056,BN,002369,5011,
85360610,58527,SLI,124199,1190195,
51506920,57951,LABP,037924,3341230,
G7641C10,58061,ROSS,037981,3364617,
87241730,27333,TGDC,003806,30541,
02157E10,57941,ALTI,038016,3354901,
75618M10,59351,REBN,040552,3557063,
16372210,20436,CHL,002968,17528,
00973W30,56234,KERN,035354,2768781,
53030730,55037,LBRDK,021227,2163871,
29395110,11522,ENZY,025274,31857,
40434J10,21948,HRG,011670,34048,
83610010,58080,SOUN,038087,3365184,
71920Q10,16581,PHCM,121257,23233,
28623U10,58447,ELEV,039060,3412590,
73044410,3624,POEA,015417,5204,
04541A10,59484,ASST,041545,3610574,
12278110,21814,BGH,002504,31815,
83359220,59300,SOBR,036649,3532419,
77936F10,57645,ROVR,039377,3310339,
23283X20,55146,CTSO,163965,2201375,
G6483G10,53393,NEGG,038848,1639587,
45784E10,59628,IVP,043191,3679400,
06790110,20065,GOLD,002055,3618,
08673510,9438,BTHL,016689,22486,
75525N10,59665,RYZB,043289,3684232,
62733310,57025,SDOT,035967,3163780,
05332310,7195,TTE,010991,27312,
92556V10,57529,VTRS,007637,3299324,
70101810,21366,PDP,014359,24506,
90187B80,53238,TWO,183780,1590568,
87654510,57786,TMKR,037137,3325582,
68236H20,57647,ONDS,033073,3308055,
72387710,3580,PIOS,008599,491487,
87164U40,52404,TOVX,177764,924391,
91979410,4818,VLY,011861,32254,
05603E20,59618,BVFL,162759,3670377,
87971M10,40157,TU,002408,30372,
29382F20,14715,ENMD,063030,10788,
88355610,4557,TRMO,010530,30616,
03675210,42273,ANTM,145046,2273,
92210730,56581,VAPO,034327,2944433,
47233W10,21097,JEF,006682,18739,
G5463T10,57900,LIII,037856,3384599,
22655210,17399,EXE,111629,3231246,
88362L20,9235,THMO,013794,30626,
11161T20,53139,BWEN,179249,1702135,
87157B40,50870,SNCR,166593,749358,
24441310,57168,DFHT,038967,3235923,
15930P80,54115,HOTR,036356,1827402,
92911N30,53444,VRNG,012987,1654734,
60343F20,58899,UTRS,039753,3466166,
68618810,9058,OFSB,016981,23377,
11252510,21100,BGL,013963,32416,
38942Q20,57348,GRAY,037062,3272250,
37988750,13783,GLOW,036003,1742856,
74622810,3500,PCYC,008826,25422,
46125A10,58730,LUNR,038258,3452683,
68634K10,57602,ORLA,178874,1670467,
64134X20,59616,NRXS,041953,3672977,
75040P40,16512,ROIAK,120301,25670,
